################################################################################
# $Header$
#
# This file was automatically generated (badly!) from the 'gismu' file
# at ftp://xiron.pc.helsinki.fi/pub/lojban/wordlists.  Uncommenting
# the entries and filling them in is work in progress.  Note that
# quite a lot of the gismu have come out with the wrong numbers of
# places, this has to be manually fixed.
#
# x1 utters verbally/says/phonates/speaks [vocally makes sound] x2                                
bacru1:A;utter
#clite1:DSAP;
#clite2:DSAP;
#clite3:DSAP;
#
# x1 leaves/goes away/departs/parts/separates from x2 via route x3                                
cliva1:A;leave
cliva2:P;left
cliva3:D;departure route
#
# x1 is a loop/circuit of x2 [material]                                                           
#clupa1:DSAP;
#clupa2:DSAP;
#
# x1 is a mathematics of type/describing x2                                                       
#cmaci1:DSAP;
#cmaci2:DSAP;
#
# x1 is small in property/dimension(s) x2 (ka) as compared with standard/norm x3                  
cmalu1:P;small
cmalu2:D;small dimension
cmalu3:D;smallness standard
cmalu3t:by standard
#
# x1 is a mountain/hill/mound/[rise]/[peak]/[summit]/[highlands] projecting from land mass x2     
#cmana1:DSAP;
#cmana2:DSAP;
#
# x1 is a structure word of grammatical class x2, with meaning/function x3 in usage (language) x4 
#cmavo1:DSAP;
#cmavo2:DSAP;
#cmavo3:DSAP;
#cmavo4:DSAP;
#
# x1 (quoted word(s)) is a/the name/title/tag of x2 to/used-by namer/name-user x3 (person)        
cmene1:D;name
cmene2:P;named
cmene3:A;name
#
# x1 laughs (emotional expression)                                                                
#cmila1:DSAP;
#cmila2:DSAP;
#cmila3:DSAP;
#
# x1 is a member/element of set x2; x1 belongs to group x2; x1 is amid/among/amongst group x2     
cmima1:D;member
cmima2:D;group* with members
cmima2t:group
#
# x1 utters moan/groan/howl/scream [non-linguistic utterance] x2 expressing x3 (property)         
#cmoni1:DSAP;
#cmoni2:DSAP;
#cmoni3:DSAP;
#
# x1 [value] is a norm/average in property/amount x2 (ka/ni) among x3(s) (set) by standard x4     
#cnano1:DSAP;
#cnano2:DSAP;
#cnano3:DSAP;
#cnano4:DSAP;
#
# x1 is a/the neck [body-part] of x2; [metaphor: a relatively narrow point]                       
#cnebo1:DSAP;
#cnebo2:DSAP;
#cnebo3:DSAP;
#cnebo4:DSAP;
#
# x1 (agent) rewards x2 [recipient] for atypical x3 (event/property) with reward/desserts x4      
#cnemu1:DSAP;
#cnemu2:DSAP;
#cnemu3:DSAP;
#cnemu4:DSAP;
#
# x1 is orderly/neat/ordered in property/quantity x2 (ka/ni)                                      
#cnici1:DSAP;
#cnici2:DSAP;
#
# x1 is new/unfamiliar/novel to observer x2 in feature x3 (ka) by standard x4; x1 is a novelty    
#cnino1:DSAP;
#cnino2:DSAP;
#cnino3:DSAP;
#
# x1 is a quantity of/contains/is made of lead (Pb); [metaphor: heavy, malleable, soft metal]     
#cnisa1:DSAP;
#cnisa2:DSAP;
#cnisa3:DSAP;
#
# x1 is directly/vertically beneath/below/under/underneath/down from x2 in frame of reference x3  
#cnita1:DSAP;
#cnita2:DSAP;
#cnita3:DSAP;
#
# x1 soaks up/absorbs/sucks up x2 from x3 into x4; x1 is an absorbant                             
#cokcu1:DSAP;
#cokcu2:DSAP;
#cokcu3:DSAP;
#
# x1 is deep in extent in direction/property x2 away from reference point x3 by standard x4       
#condi1:DSAP;
#condi2:DSAP;
#condi3:DSAP;
#condi4:DSAP;
#
# x1 hurts/feels pain/hurt at locus x2                                                            
cortu1:A;feel* pain
cortu2:D;locus* of pain
#
# x1 gets/procures/acquires/obtains/accepts x2 from source x3 [previous possessor not implied]    
cpacu1:A;acquire
cpacu2:P;acquired
cpacu3:D;source* of acquisition
cpacu3t:source
#
# x1 is upon/atop/resting on/lying on [the upper surface of] x2 in frame of reference/gravity x3  
cpana1:P;on top of
cpana2:P;rested on
cpana3:S;reference frame for being upon
cpana3t:reference frame
#
# x1 climbs/clambers/creeps/crawls on surface x2 in direction x3 using x4 [limbs/tools]           
#cpare1:DSAP;
#cpare2:DSAP;
#cpare3:DSAP;
#cpare4:DSAP;
#
# x1 requests/asks/petitions/solicits for x2 of/from x3 in manner/form x4                         
cpedu1:A;request
cpedu2:P;requested
cpedu3:A;receive* request
cpedu4:S;manner of request
#
# x1 is pungent/piquant/peppery/spicy/irritating to sense x2                                      
#cpina1:DSAP;
#cpina2:DSAP;
#
# x1 broadcasts/transmits [using radio waves] x2 via station/frequency x3 to [radio] receiver x4  
cradi1:A;broadcast
cradi2:P;broadcasted
cradi3:D;broadcasting station
cradi4:D;broadcast receiver
#
# x1 is anterior/ahead/forward/(in/on) the front of x2 which faces/in-frame-of-reference x3       
#crane1:DSAP;
#crane2:DSAP;
#crane3:DSAP;
#
# x1 is a shirt/blouse/top [upper-body garment - not necessarily sleeved or buttoned], material x2
#creka1:DSAP;
#creka2:DSAP;
#creka3:DSAP;
#
# x1 (agent) harvests/reaps/gathers crop/product/objects x2 from source/area x3                   
#crepu1:DSAP;
#crepu2:DSAP;
#crepu3:DSAP;
#
# x1 is a bear/ursoid of species/breed x2                                                         
#cribe1:DSAP;
#cribe2:DSAP;
#
# x1 is a fairy/elf/gnome/brownie/pixie/goblin/kobold [mythical humanoid] of mythos/religion x2   
#crida1:DSAP;
#crida2:DSAP;
#
# x1 is green/verdant [color adjective]                                                           
#crino1:DSAP;
#crino2:DSAP;
#
# x1 is a bridge/span over/across x2 between x3 and x4 [unordered, typically destination first]   
#cripu1:DSAP;
#cripu2:DSAP;
#cripu3:DSAP;
#cripu4:DSAP;
#
# x1 is summer/summertime [hot season] of year x2 at location x3                                  
crisa1:D;summer
crisa2:D;year* of summer
crisa3:D;location* of summer
#
# x1 is autumn/fall [harvest/cooling season] of year x2 at location x3                            
#critu1:DSAP;
#critu2:DSAP;
#critu3:DSAP;
#
# x1 is a tide [cyclical/periodic expansion] in x2 caused by x3                                   
#ctaru1:DSAP;
#ctaru2:DSAP;
#ctaru3:DSAP;
#
# x1 is a/the lip [body-part]/rim of orifice x2 of body x3; (adjective:) x1 is labial             
#ctebi1:DSAP;
#ctebi2:DSAP;
#
# x1 is a tax/levy/duty on goods/services/event x2 levied against x3 by authority/collector x4    
#cteki1:DSAP;
#cteki2:DSAP;
#cteki3:DSAP;
#cteki4:DSAP;
#
# x1 is a quantity of petroleum/oil from source x2                                                
#ctile1:DSAP;
#ctile2:DSAP;
#
# x1 is a shadow/the shade of object x2, made by light/energy source x3                           
ctino1:D;shadow
ctino2:D;object* of shadow
ctino2t:object
ctino3:D;light source* producing shadow
ctino3t:light source
#
# x1 teaches audience x2 ideas/methods/lore x3 (du'u) about subject(s) x4 by method x5 (event)    
ctuca1:A;teach
ctuca2:D;audience* of teaching
ctuca3:S;ideas taught
ctuca4:S;subject taught
ctuca5:D;method* of teaching
#
# x1 is round/circular [2-dimensional shape/form]; x1 is a disk/circle/ring                       
#cukla1:DSAP;
#
# x1 is a book containing work x2 by author x3 for audience x4 preserved in medium x5             
#cukta1:DSAP;
#cukta2:DSAP;
#cukta3:DSAP;
#cukta4:DSAP;
#cukta5:DSAP;
#
# x1 is full/completely filled with x2                                                            
#culno1:DSAP;
#culno2:DSAP;
#
# x1 (event/state/property) is possible under conditions x2; x1 may/might occur; x1 is a maybe    
#cumki1:DSAP;
#
# x1 is humble/modest about x2 (abstraction); x1 displays humility about x2                       
cumla1:P;modest
cumla2:D;subject* of modesty
#
# x1 is a quantity of millet [grain] of species/strain x2                                         
#cunmi1:DSAP;
#cunmi2:DSAP;
#
# x1 is random/fortuitous/unpredictable under conditions x2, with probability distribution x3     
#cunso1:DSAP;
#cunso2:DSAP;
#cunso3:DSAP;
#
# x1 is an affair/organized activity involving person(s) x2 (ind./mass); x1 is x2's business      
#cuntu1:DSAP;
#cuntu2:DSAP;
#
# x1 produces x2 [product] by process x3                                                          
cupra1:A;produce
cupra2:D;product
cupra3:D;production process
#
# x1 (agent) lets/permits/allows x2 (event) under conditions x3; x1 grants privilege x2           
curmi1:A;allow
curmi2:P;allowed
curmi3:S;conditions for allowing
#
# x1 is a worm/invertebrate animal of species/breed x2                                            
#curnu1:DSAP;
#curnu2:DSAP;
#
# x1 is pure/unadulterated/unmitigated/simple in property x2 (ka)                                 
curve1:P;pure
curve2:D;pure property
#
# x1 (agent) expresses/says x2 (sedu'u/text/lu'e concept) for audience x3 via expressive medium x4
cusku1:A;say
cusku2:P;said
cusku3:S;audience
cusku4:S;medium of expression
#
# x1 is a shoe/boot/sandal for covering/protecting [feet/hooves] x2, and of material x3           
cutci1:D;shoe
cutci2:D;shod foot
cutci2n:shod foot/feet
cutci3:S;shoe material
#
# x1 is a/the chest/thorax/upper trunk/[rib cage/breast] [body-part] of x2                        
#cutne1:DSAP;
#cutne2:DSAP;
#
# x1 chooses/selects x2 [choice] from set/sequence of alternatives x3 (complete set)              
cuxna1:A;choose
cuxna2:P;chosen
cuxna3:S;alternatives for choice
cuxna3t:alternatives
#
# x1 is a drawer/file in structure x2, a [sliding compartment] container for contents x3          
dacru1:D;file
dacru2:D;filing unit
dacru3:S;file contents
#
# x1 is a material object enduring in space-time; x1 is a thing                                   
dacti1:D;object
#
# x1 pertains to the Taoist culture/ethos/religion in aspect x2                                   
#dadjo1:DSAP;
#dadjo2:DSAP;
#
# x1 is a knife (tool) for cutting x2, with blade of material x3                                  
dakfu1:D;knife
dakfu1n:knife(ves)
dakfu2:R;cut by knife
dakfu3:S;knife blade material
dakfu3t:blade material
#
# x1 is a sack/bag with contents x2, and of material x3                                           
dakli1:D;bag
dakli2:S;bag contents
dakli3:S;bag material
#
# x1 fights/combats/struggles with x2 over issue x3 (abstract); x1 is a fighter/combatant         
damba1:A;fight
damba2:R;fought against
damba3:D;reason* for fight
damba3t:over issue
#
# x1 is a drum/cymbal/gong [percussion musical instrument] with beater/actuator x2                
damri1:D;percussion instrument
damri1t:instrument
damri2:D;percussion instrument beater
damri2t:with beater
#
# x1 hangs/dangles/is suspended from x2 by/at/with joint x3                                       
dandu1:R;suspended
dandu2:D;hanging support
dandu3:S;means of suspension
dandu3t:by means
#
# x1 is the answer/response/solution/[reply] to question/problem x2                               
danfu1:D;answer
danfu2:D;answered problem
#
# x1 is an animal/creature of species x2; x1 is biologically animate                              
danlu1:D;animal
danlu2:S;animal species
#
# x1 is made of/contains/is a quantity of smoke/smog/air pollution from source x2                 
danmo1:S;smoke
danmo2:D;source* of smoke
#
# x1 (force) puts pressure on/presses/applies force to x2                                         
danre1:I;apply* pressure
danre2:R;subject to pressure
#
# x1 (individual, mass) dances to accompaniment/music/rhythm x2                                   
dansu1:A;dance
dansu2:D;dance accompaniment
#
# x1 is a ballistic projectile [e.g. bullet/missile] for firing by [gun/propelling launcher] x2   
danti1:D;projectile
danti2:D;projectile launcher
#
# x1 is an island/atoll/key of [material/properties] x2 in surroundings/body x3; x1 is insular    
daplu1:D;island
daplu2:D;island material
daplu2t:material
daplu3:S;island surroundings
daplu3t:surroundings
#
# x1 curses/damns/condemns x2 to fate (event) x3                                                  
dapma1:A;condemn
dapma2:P;condemned
dapma3:S;fate
#
# x1 is a road/highway to x2 from x3 with route x4 (x2/x3 may be unordered)                       
dargu1:D;highway
dargu2:D;destination* of highway
dargu3:D;origin* of highway
dargu4:D;route* of highway
#
# x1 argues for stand x2 against stand x3; [an opponent is not necessary]                         
darlu1:A;present* an argument
darlu2:R;argued for
darlu3:R;argued against
#
# x1 is far/distant from x2 in property x3 (ka)                                                   
darno1:P;distant
darno2:D;distant reference
darno2t:reference
darno3:D;distant property
darno3t:property
#
# x1 shows audacity/chutzpah in behavior x2 (event/activity); x1 dares to do/be x2 (event/ka)     
darsi1:A;show* audacity
darsi2:D;audacious behaviour
#
# x1 hits/strikes/[beats] x2 with instrument [or body-part] x3 at locus x4                        
darxi1:A;strike
darxi2:P;struck
darxi3:D;striking instrument
darxi3t:instrument
darxi4:D;locus of strike
darxi4n:locus/i of strike
darxi4t:locus
#
# x1 is a pocket/pouch of/in garment/item x2                                                      
daski1:D;pocket
daski2:D;garment* with pocket
#
# x1 wears/is robed/garbed in x2 as a garment of type x3                                          
dasni1:A;wear
dasni2:D;worn garment
dasni3:D;type* of worn garment
#
# x1 (event) destroys/ruins/wrecks/despoils x2; x1 is destructive                                 
daspo1:A;destroy
daspo2:P;destroyed
#
# x1 is a ribbon/tape/strip/band/stripe of material x2                                            
dasri1:D;ribbon
dasri2:D;ribbon material
dasri2t:material
#
# x1 is a duck/[drake] of species/breed x2                                                        
datka1:D;duck
datka2:S;duck species
#
# x1 (du'u) [fact/measurement] is data/information/statistic(s) about x2 gathered by method x3    
datni1:S;data
datni2:D;data subject
datni3:D;data gathering method
#
# x1 is a tenth [1/10; 1x10**-1] of x2 in dimension/aspect x3 (default is units)                  
#decti1:DSAP;
#decti2:DSAP;
#decti3:DSAP;
#
# x1 is a/the finger/digit/toe [body-part] on limb/body site x2 of body x3; [metaphor: peninsula] 
degji1:D;finger*/toe*
degji2:D;limb* with digit
degji3:D;body* with digit
#
# x1 owes x2 in debt/obligation to creditor x3 in return for x4 [service, loan]; x1 is a debtor   
dejni1:D;debtor
dejni2:D;debt
dejni3:D;creditor
dejni4:D;reason* for debt
#
# x1 is x2 (default 1) local volume unit(s) [non-metric; e.g. bushel], standard x3, x4 subunits   
#dekpu1:DSAP;
#dekpu2:DSAP;
#dekpu3:DSAP;
#dekpu4:DSAP;
#
# x1 is ten [10; 1*10**1] of x2 in dimension/aspect x3 (default is units)                         
#dekto1:DSAP;
#dekto2:DSAP;
#dekto3:DSAP;
#
# x1 is x2 candela [metric unit] in luminosity (default is 1) by standard x3                      
#delno1:DSAP;
